Site,Location,Area,Patient/Person Involved
Westchester,Ambulatory/Clinic,Trailer,Not Applicable
Westchester,Ambulatory/Clinic,Trailer,Visitor
Westchester,Ambulatory/Clinic,Urology,Not Applicable
Westchester,Ambulatory/Clinic,Urology,Outpatient
Westchester,Ambulatory/Clinic,Urology,Visitor
Westchester,Laboratory,Laboratory,Not Applicable
Westchester,Laboratory,Laboratory,Outpatient
Westchester,Laboratory,Laboratory,Visitor
Westchester,Non-Clinical Area,Public Spaces,Not Applicable
Westchester,Non-Clinical Area,Public Spaces,Outpatient
Westchester,Non-Clinical Area,Public Spaces,Visitor
Westchester,Pathology,Cytology,Outpatient
Westchester,Patient Financial Services,Patient Financial Services,Not Applicable
Westchester,Patient Financial Services,Patient Financial Services,Outpatient
Westchester,Patient Financial Services,Patient Financial Services,Visitor
Westchester,Perioperative,Anesthesia - Pain,Not Applicable
Westchester,Perioperative,Anesthesia - Pain,Outpatient
Westchester,Perioperative,Anesthesia - Pain,Visitor
Westchester,Perioperative,Anesthesiology,Not Applicable
Westchester,Perioperative,Anesthesiology,Outpatient
Westchester,Perioperative,Anesthesiology,Visitor
Westchester,Pharmacy,Pharmacy,Not Applicable
Westchester,Pharmacy,Pharmacy,Outpatient
Westchester,Pharmacy,Pharmacy,Visitor
Westchester,Phlebotomy,Phlebotomy,Not Applicable
Westchester,Phlebotomy,Phlebotomy,Outpatient
Westchester,Phlebotomy,Phlebotomy,Visitor
Westchester,Radiation Oncology,Chart Rounds,Not Applicable
Westchester,Radiation Oncology,Chart Rounds,Outpatient
Westchester,Radiation Oncology,Chart Rounds,Visitor
Westchester,Radiation Oncology,Clinic,Not Applicable
Westchester,Radiation Oncology,Clinic,Outpatient
Westchester,Radiation Oncology,Clinic,Visitor
Westchester,Radiation Oncology,Simulation - EBRT,Not Applicable
Westchester,Radiation Oncology,Simulation - EBRT,Outpatient
Westchester,Radiation Oncology,Simulation - EBRT,Visitor
Westchester,Radiation Oncology,Treatment,Not Applicable
Westchester,Radiation Oncology,Treatment,Outpatient
Westchester,Radiation Oncology,Treatment,Visitor
Westchester,Radiation Oncology,Treatment Planning - Brachytherapy,Not Applicable
Westchester,Radiation Oncology,Treatment Planning - Brachytherapy,Outpatient
Westchester,Radiation Oncology,Treatment Planning - Brachytherapy,Visitor
Westchester,Radiation Oncology,Treatment Planning - EBRT,Not Applicable
Westchester,Radiation Oncology,Treatment Planning - EBRT,Outpatient
Westchester,Radiation Oncology,Treatment Planning - EBRT,Visitor
Westchester,Radiology,Bone density,Not Applicable
Westchester,Radiology,Bone density,Outpatient
Westchester,Radiology,Bone density,Visitor
Westchester,Radiology,CT,Not Applicable
Westchester,Radiology,CT,Outpatient
Westchester,Radiology,CT,Visitor
Westchester,Radiology,General Radiology,Not Applicable
Westchester,Radiology,General Radiology,Outpatient
Westchester,Radiology,General Radiology,Visitor
Westchester,Radiology,Interventional Radiology,Not Applicable
Westchester,Radiology,Interventional Radiology,Outpatient
Westchester,Radiology,Interventional Radiology,Visitor
Westchester,Radiology,Mammo Interventional,Not Applicable
Westchester,Radiology,Mammo Interventional,Outpatient
Westchester,Radiology,Mammo Interventional,Visitor
Westchester,Radiology,Mammography,Not Applicable
Westchester,Radiology,Mammography,Outpatient
Westchester,Radiology,Mammography,Visitor
Westchester,Radiology,MRI,Not Applicable
Westchester,Radiology,MRI,Outpatient
Westchester,Radiology,MRI,Visitor
Westchester,Radiology,PET CT,Not Applicable
Westchester,Radiology,PET CT,Outpatient
Westchester,Radiology,PET CT,Visitor
Westchester,Radiology,US,Not Applicable
Westchester,Radiology,US,Outpatient
Westchester,Radiology,US,Visitor
Kimmel,Ambulatory/Clinic,Rehabilitation Medicine,Not Applicable
Kimmel,Ambulatory/Clinic,Rehabilitation Medicine,Outpatient
Kimmel,Ambulatory/Clinic,Rehabilitation Medicine,Visitor
1275 York Ave,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Inpatient
1275 York Ave,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
1275 York Ave,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
1275 York Ave,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
53rd Street,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
53rd Street,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
53rd Street,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
BAIC,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
BAIC,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
BAIC,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
Bergen,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
Bergen,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
Bergen,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
JRSC,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
JRSC,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
JRSC,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
Koch,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
Koch,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
Koch,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
Monmouth,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
Monmouth,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
Monmouth,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
Nassau,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
Nassau,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
Nassau,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
Westchester,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Not Applicable
Westchester,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Outpatient
Westchester,Ambulatory/Clinic,PT/OT Rehabilitation Therapy,Visitor
,,,
Koch,Ambulatory/Clinic,GU Med Onc clinic,Outpatient
Koch,Ambulatory/Clinic,GU Med Onc clinic,Visitor
Koch,Ambulatory/Clinic,GU Med Onc clinic,Not Applicable
Koch,Ambulatory/Clinic,Urology,Outpatient
Koch,Ambulatory/Clinic,Urology,Visitor
Koch,Ambulatory/Clinic,Urology,Not Applicable
Kimmel,Phlebotomy,Phlebotomy,Outpatient
Kimmel,Phlebotomy,Phlebotomy,Not Applicable
Kimmel,Phlebotomy,Phlebotomy,Visitor
